"","rules","support","confidence","coverage","lift","count"
"1","{Fat Free Half & Half} => {Original Breakfast Sausage Links}",4.02398293831234e-05,1,4.02398293831234e-05,8283.66666666667,1
"2","{Italian Sausage and Garlic Meat Sauce} => {Tommy/Kent/Keitt/Haden Mango}",4.02398293831234e-05,1,4.02398293831234e-05,4970.2,1
"3","{Spicy Salmon Avocado Roll} => {Cold Brew Coffee}",4.02398293831234e-05,1,4.02398293831234e-05,2070.91666666667,1
"4","{French Roast Dark Roast Coffee K- Cups} => {Mozzarella String Cheese}",4.02398293831234e-05,1,4.02398293831234e-05,3550.14285714286,1
"5","{French Onion Dip} => {Sparkling Lemon Water}",4.02398293831234e-05,1,4.02398293831234e-05,856.931034482759,1
"6","{Concentrated Cold Brew Coffee} => {Organic Cucumber}",4.02398293831234e-05,1,4.02398293831234e-05,365.455882352941,1
"7","{Organic Ranch Salad Dressing} => {Organic Gluten Free Non-Dairy Beans & Rice Burrito}",4.02398293831234e-05,1,4.02398293831234e-05,8283.66666666667,1
"8","{Commerical Cleanser With Bleach} => {Organic Lactose Free 1% Lowfat Milk}",4.02398293831234e-05,1,4.02398293831234e-05,4141.83333333333,1
"9","{Chicken & Vegetable Dumplings Potstickers} => {Apple Honeycrisp Organic}",4.02398293831234e-05,1,4.02398293831234e-05,400.822580645161,1
"10","{Light & Lean Soft Taco Fiesta} => {Light & Lean Spaghetti Italiano with Meatless Meatballs}",4.02398293831234e-05,1,4.02398293831234e-05,6212.75,1
"11","{Banana Cinnamon Frozen Pops} => {Small Hass Avocado}",4.02398293831234e-05,1,4.02398293831234e-05,801.645161290323,1
"12","{Restaurant Style Medium Salsa} => {Cucumber Kirby}",4.02398293831234e-05,1,4.02398293831234e-05,314.569620253165,1
"13","{Organic Unsalted Vegetable Broth} => {Cut & Peeled Baby Carrots}",4.02398293831234e-05,1,4.02398293831234e-05,6212.75,1
"14","{Sesame Teriyaki Sauce & Marinade} => {Organic Chai Tea Bags}",4.02398293831234e-05,1,4.02398293831234e-05,12425.5,1
"16","{Cooking Beef Stock} => {Dozen Roses}",4.02398293831234e-05,1,4.02398293831234e-05,24851,1
"18","{Fragrance Free Natural Care Wipes} => {Sea Salt Small Curd Cottage Cheese}",4.02398293831234e-05,1,4.02398293831234e-05,24851,1
"20","{Whole Wheat Spanakopita} => {Organic Garlic}",4.02398293831234e-05,1,4.02398293831234e-05,355.014285714286,1
"21","{Family Pack Bean & Cheese Burritos} => {Squeeze Tomato Ketchup}",4.02398293831234e-05,1,4.02398293831234e-05,4141.83333333333,1
"22","{Traditional Chicken & Wild Rice Soup} => {Old World Style Organic Traditional Pasta Sauce}",4.02398293831234e-05,1,4.02398293831234e-05,12425.5,1
"24","{Craveables Four Cheese Pizza} => {Eggo Chocolate Chip Waffles}",4.02398293831234e-05,1,4.02398293831234e-05,24851,1
"26","{Natural Sunflower Seed Bread} => {Uncured Genoa Salami}",4.02398293831234e-05,1,4.02398293831234e-05,801.645161290323,1
"27","{Organic Letter of the Day Very Vanilla Cookies} => {Organic Boneless Skinless Chicken Breast}",4.02398293831234e-05,1,4.02398293831234e-05,2070.91666666667,1
"28","{Minis, Coconut Milk, Non-Dairy Frozen Dessert, no sugar added Vanilla Bar} => {Hass Avocados}",4.02398293831234e-05,1,4.02398293831234e-05,637.205128205128,1
"29","{Smoked Turkey Rope Sausage} => {French Onion Soup}",4.02398293831234e-05,1,4.02398293831234e-05,24851,1
"31","{Organic Natural Creations Light in Sodium Creamy Garden Tomato Soup} => {All Natural Marinara Pasta Sauce}",4.02398293831234e-05,1,4.02398293831234e-05,6212.75,1
"32","{Rooibos Chai Herbal Tea Bags} => {Maple Glazed Pecan & Sea Salt Bar}",4.02398293831234e-05,1,4.02398293831234e-05,24851,1
"34","{Chocolate Chip Love Cookies} => {Hazelnut Truffle Dark Chocolate Bar}",4.02398293831234e-05,1,4.02398293831234e-05,24851,1
"36","{Banana Nut Chia Bar} => {Coconut Chia Bar}",4.02398293831234e-05,1,4.02398293831234e-05,4970.2,1
"37","{Holiday Nog} => {Organic Red Lentils}",4.02398293831234e-05,1,4.02398293831234e-05,3106.375,1
"38","{California Lemonade} => {Enchilada Black Bean Vegetable}",4.02398293831234e-05,1,4.02398293831234e-05,12425.5,1
"40","{Light Corn Syrup with Real Vanilla} => {Mini Cucumbers}",4.02398293831234e-05,1,4.02398293831234e-05,2761.22222222222,1
"41","{Original Gluten Free Crackers} => {Organic Sliced Kalamata Olives}",4.02398293831234e-05,1,4.02398293831234e-05,24851,1
"43","{Baby Dry Diapers Jumbo Pack - Size 5} => {Soft Taco Tortillas - 8 CT}",4.02398293831234e-05,1,4.02398293831234e-05,24851,1
"45","{Sliced Provolone Cheese} => {Pulp Free Orange Juice}",4.02398293831234e-05,1,4.02398293831234e-05,2761.22222222222,1
"46","{Maple Cured Bacon Baked Beans} => {50% Less Sodium Kidney Beans}",4.02398293831234e-05,1,4.02398293831234e-05,8283.66666666667,1
"47","{Organic Stage 2 Spinach Lentil Brown Rice Baby Food} => {Organic Mixed Berry Yogurt & Fruit Snack}",4.02398293831234e-05,1,4.02398293831234e-05,6212.75,1
"48","{Four Cheese Cannelloni with ricotta, mozzarella, Parmesan & Romano cheese. Four Cheese Cannelloni} => {The Original Hot Picante Sauce}",4.02398293831234e-05,1,4.02398293831234e-05,24851,1
"50","{Fresh Cut Sweet Peas} => {Creamy Peanut Butter}",4.02398293831234e-05,1,4.02398293831234e-05,1129.59090909091,1
"51","{Rich & Creamy Cream Cheese Frosting} => {Ginger Bok Choy Vegetable Salad Kit}",4.02398293831234e-05,1,4.02398293831234e-05,24851,1
"53","{Chipotle Ranch Dressing & Dip} => {Cold Brew Coffee}",4.02398293831234e-05,1,4.02398293831234e-05,2070.91666666667,1
"54","{Home Style Savory Beef Gravy} => {Pepperoni Pizza Frozen Sandwiches}",4.02398293831234e-05,1,4.02398293831234e-05,12425.5,1
"56","{Classic Mild Cheddar Macaroni & Cheese 25% Less Sodium} => {Oven Roasted Turkey Breast}",4.02398293831234e-05,1,4.02398293831234e-05,1775.07142857143,1
"57","{Cheery Cherry ZFruit and Veggie} => {Organic Spaghetti Squash}",4.02398293831234e-05,1,4.02398293831234e-05,4141.83333333333,1
"58","{Organic Broccoli Sprouts} => {Coconut Water, Real}",4.02398293831234e-05,1,4.02398293831234e-05,12425.5,1
"60","{Donettes Frosted Devil's Food Mini Donuts} => {Fat Free Milk}",4.02398293831234e-05,1,4.02398293831234e-05,1080.47826086957,1
"61","{Light & Fit Strawberry Greek Yogurt} => {Pita Bread}",4.02398293831234e-05,1,4.02398293831234e-05,12425.5,1
"63","{Gluten Free Ginger Snaps} => {Organic Lacinato (Dinosaur) Kale}",4.02398293831234e-05,1,4.02398293831234e-05,730.911764705882,1
"64","{Flax Plus Hot Oatmeal} => {Limes}",4.02398293831234e-05,1,4.02398293831234e-05,207.091666666667,1
"65","{Organic Vidalia Onion} => {Limes}",4.02398293831234e-05,1,4.02398293831234e-05,207.091666666667,1
"66","{Cinnamon Graham Crackers} => {Organic Pumpkin}",4.02398293831234e-05,1,4.02398293831234e-05,8283.66666666667,1
"67","{Hot Fudge Topping} => {Olive Oil & Garlic Pasta Sauce}",4.02398293831234e-05,1,4.02398293831234e-05,12425.5,1
"69","{Cling Wrap Clear Food Wrap} => {100% Whole Wheat Bread}",4.02398293831234e-05,1,4.02398293831234e-05,497.02,1
"70","{Gluten Free Spaghetti} => {Lacinato Kale Og}",4.02398293831234e-05,0.5,8.04796587662468e-05,4141.83333333333,1
"71","{Italian Batard} => {Total Greek Yogurt With Honey}",4.02398293831234e-05,0.5,8.04796587662468e-05,4141.83333333333,1
"72","{Lactose Free Low Fat Vanilla Yogurt} => {Yellow Tortilla Chips}",4.02398293831234e-05,0.5,8.04796587662468e-05,6212.75,1
"74","{Roman Raspberry Sorbetto} => {Organic Milk}",4.02398293831234e-05,0.5,8.04796587662468e-05,388.296875,1
"75","{Premium Fish Sauce} => {Organic Yokids Lemonade/Blueberry Variety Pack Yogurt Squeezers Tubes}",4.02398293831234e-05,0.5,8.04796587662468e-05,1553.1875,1
"76","{Tangerine Juice} => {Garlic Pickle Spears}",4.02398293831234e-05,0.5,8.04796587662468e-05,6212.75,1
"78","{Olive Bread} => {Roasted Salted Cashews}",4.02398293831234e-05,0.5,8.04796587662468e-05,1775.07142857143,1
"79","{Organic Bakery Tortillas Whole Spelt} => {Organic Cranberry Pomegranate Juice}",4.02398293831234e-05,0.5,8.04796587662468e-05,4141.83333333333,1
"80","{Chocolate Chip Snackimals} => {Original Soy Creamer}",4.02398293831234e-05,0.5,8.04796587662468e-05,4141.83333333333,1
"81","{Milano Milk Chocolate Cookies} => {Pure & Natural Sour Cream}",4.02398293831234e-05,0.5,8.04796587662468e-05,1380.61111111111,1
"82","{California Orange Juice} => {Premium Unsweetened Iced Tea}",4.02398293831234e-05,0.5,8.04796587662468e-05,2070.91666666667,1
"83","{Whole Grain Rotini} => {Banana}",4.02398293831234e-05,0.5,8.04796587662468e-05,34.9030898876404,1
"84","{Multi Grain Waffles} => {Large Lemon}",4.02398293831234e-05,0.5,8.04796587662468e-05,123.024752475248,1
"85","{Coconut Flavored Sparkling Water} => {Garlic Powder}",4.02398293831234e-05,0.5,8.04796587662468e-05,1775.07142857143,1
"86","{Squeezable Pouches Apple Sauce} => {Organic Hot House Tomato}",4.02398293831234e-05,0.5,8.04796587662468e-05,2485.1,1
"87","{Exposed Pulp and Juice Original Aloe Vera + Honey} => {Licorice, Soft}",4.02398293831234e-05,0.5,8.04796587662468e-05,4141.83333333333,1
"88","{Butter Cooking Spray} => {Unsalted Cultured Butter}",4.02398293831234e-05,0.5,8.04796587662468e-05,1553.1875,1
"89","{Organic Gluten Free Dude Ranch Multigrain Snack Chips} => {Chocolate Milk Frozen Pops}",4.02398293831234e-05,0.5,8.04796587662468e-05,4141.83333333333,1
"90","{Organic Yellow Mustard,Sliced Genoa Salami} => {Organic Fuji Red Apple Chips}",4.02398293831234e-05,1,4.02398293831234e-05,6212.75,1
